,Country from our model,Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
14,Belgium,BEL,0.012265844,0.0032136617,0.0010565539,0.0010565539,0.0014511344,0.0018008351,0.00197221,0.0049563954,0.0049563954,0.0007698059,0.0053545907,0.0053545907,0.0037960059,0.0037960059,0.0037960059,0.00058899913,0.00058899913,0.00058899913,0.0037960059,0.0037960059,0.0037960059,0.008658402,0.008658402,0.008658402,0.008658402,0.008658402,0.006013729,0.0053995815,0.0042359135,0.0013600327,0.0013600327,0.0060516596,0.0013600327
15,Benin,BEN,0.09193861,0.057542454,0.1147245,0.47708,0.53901625,0.46899712,0.64927953,0.1199754,0.13115147,0.6103224,0.43742448,0.3314702,0.8906358,0.53916514,0.8418241,0.78424203,0.6101647,0.8337205,0.12743303,0.68608147,0.7730829,0.42083937,0.08233665,0.08141605,0.004707387,0.004707387,0.010865742,0.019346321,0.05332556,0.2738421,0.18831007,0.006667027,0.0054074847
16,Bermuda,BMU,0.0027953628,0.00014791997,0.00021871117,0.00021871117,0.00021871117,0.00021871117,0.00021871117,0.00021871117,0.00021871117,0.0003650885,0.0003662675,0.0005920186,0.00059542974,0.00082457525,0.00082457525,0.002463553,0.0010600727,0.0010600727,0.0017659662,0.0016078186,0.00037263022,0.00080067734,0.00052740047,0.0009189884,0.0009189884,0.0009189884,0.0027864208,0.0030943132,0.0005182353,0.0005182353,0.00041865977,0.0025009995,0.00041865977
17,Bolivia,BOL,0.085437365,0.025415087,0.02458096,0.020877369,0.0019351967,0.004199916,0.0027411166,0.005780775,0.0036236716,0.14834467,0.26273823,0.21072559,0.14573865,0.13464971,0.0040303604,0.0020937847,0.0021276686,0.015733728,0.1849564,0.34874928,0.24205406,0.007287287,0.007287287,0.016349673,0.023599425,0.0349921,0.056675605,0.084276915,0.03347184,0.1827631,0.15458636,0.12125027,0.016067112
18,Bosnia and Herzegovina,BIH,0.21590084,0.96558607,0.92187804,0.9221313,0.6196836,0.025849853,0.0005846235,0.0035624667,0.0021358451,0.0012045864,0.013128016,0.0851307,0.018408876,0.0010404182,0.00077214005,0.0027060183,0.0053110565,0.17233896,0.008422008,0.050047826,0.009786454,0.014093941,0.0053800573,0.054554373,0.0948355,0.039821815,0.016600758,0.059168722,0.010948212,0.03649348,0.017089747,0.045968488,0.022713164
19,Botswana,BWA,0.028914448,0.003948335,0.0025730357,0.0004325028,0.0004325028,0.00043002467,0.00043002467,0.0010666806,0.0010666806,0.0004966259,0.0009777648,0.005904505,0.0013096082,0.0011763447,0.0012208243,0.001243535,0.0014357434,0.0015451463,0.0014747264,0.0011464625,0.0012552668,0.0012552668,0.0009479758,0.0005219653,0.0010879283,0.0012404994,0.0009786241,0.0011106033,0.0005153458,0.0002765816,0.00066480774,0.00066480774,0.0008106082
20,Brazil,BRA,0.0063457373,0.004377691,0.006690277,0.014246225,0.014246225,0.02351088,0.012302402,0.023276314,0.006282533,0.3727588,0.48705003,0.7179596,0.79928255,0.79928255,0.46077636,0.11341482,0.17453837,0.2590476,0.2917626,0.6559112,0.98072505,0.9038498,0.91043365,0.9730408,0.97174644,0.9567557,0.9452641,0.9859098,0.94519526,0.91922927,0.54019624,0.92155236,0.5367615
21,Bulgaria,BGR,0.86495066,0.55376095,0.22292872,0.36876348,0.10425453,0.17686695,0.10584783,0.006003331,0.005161283,0.010682725,0.0548764,0.3930273,0.008713485,0.0054101064,0.15785062,0.23893063,0.88311225,0.6572151,0.77868074,0.9353449,0.9495005,0.9738096,0.9895493,0.99015486,0.83548933,0.24410972,0.24410972,0.24410972,0.24410972,0.14612493,0.033797026,0.04046215,0.014827469
22,Burkina Faso,BFA,0.24361518,0.25828725,0.49547964,0.7999858,0.2966914,0.0105918,0.011020366,0.078299545,0.01875842,0.004685819,0.0025508408,0.0031399764,0.0061712638,0.0045079715,0.0034408856,0.0011277534,0.0029702852,0.002575946,0.0050644823,0.013357674,0.029087694,0.0217012,0.035910986,0.0024974025,0.0021802648,0.0102790315,0.0013984292,0.0014959645,0.0011828836,0.0020802943,0.0011242304,0.0005367845,0.00016696373
23,Burma (Myanmar),MMR,0.104008846,0.16627344,0.04611913,0.03537376,0.03537376,0.17654462,0.06158078,0.06775086,0.017269876,0.029899769,0.029899769,0.021946693,0.009459356,0.0087405825,0.009482461,0.03612854,0.0141519215,0.0141519215,0.0065362607,0.0067602703,0.008378658,0.009068508,0.0029973525,0.00683568,0.011783605,0.02153472,0.04924429,0.24800335,0.46581846,0.8214969,0.79240555,0.98413587,0.9684507
24,Burundi,BDI,0.7817115,0.6378024,0.730934,0.94162804,0.596262,0.24031626,0.25407213,0.6964587,0.94540447,0.9710438,0.89925724,0.7629289,0.7629289,0.8585187,0.94561136,0.8997769,0.9842747,0.98084855,0.9887255,0.9638613,0.9715741,0.9656128,0.97621685,0.9802624,0.963519,0.9855252,0.849339,0.30500448,0.44563317,0.545817,0.13235189,0.0797535,0.10939689
25,Cambodia,KHM,0.9094966,0.9732911,0.89104986,0.95023143,0.48222762,0.78483826,0.3623213,0.018181814,0.03023653,0.033056695,0.038125645,0.015284092,0.04076919,0.0398464,0.049921285,0.0062479945,0.025446434,0.02876822,0.3129662,0.9569532,0.86347413,0.8991895,0.9067494,0.99898416,0.9233586,0.88280505,0.9155665,0.8534847,0.8820587,0.53743,0.40518993,0.50237626,0.65892553
26,Cameroon,CMR,0.0047273864,0.010198137,0.007115736,0.005910349,0.02068926,0.042807803,0.0024242084,0.2833853,0.2833853,0.3400895,0.49783456,0.7680114,0.14490701,0.5085008,0.024685763,0.02802746,0.02802746,0.0053554014,0.13211845,0.49872652,0.4342809,0.18844321,0.18463941,0.21443295,0.2514228,0.98265636,0.9911097,0.9904421,0.9836907,0.91647035,0.5370245,0.5993546,0.68679005
27,Canada,CAN,0.002252473,0.0031352425,0.0099515915,0.005900123,0.006337138,0.0032714568,0.0046344716,0.0014447469,0.0019288476,0.0057501155,0.006634268,0.00650819,0.0035265738,0.0035265738,0.0035265738,0.0035265738,0.0027033559,0.007907542,0.007907542,0.007907542,0.0069755903,0.0069755903,0.0069755903,0.0069755903,0.016798692,0.016798692,0.016798692,0.01206907,0.01206907,0.01206907,0.01206907,0.011680017,0.011680017
28,Central African Republic,CAF,0.06969873,0.05894171,0.031411033,0.29210362,0.12853473,0.0092558805,0.01128345,0.018132567,0.12862311,0.0126735745,0.021734327,0.0070774737,0.061216444,0.0026470467,0.009238781,0.011550704,0.008962389,0.023623232,0.52352184,0.3119202,0.23786846,0.057834122,0.95748967,0.8505875,0.8420073,0.9034007,0.8571525,0.86383575,0.6204574,0.63096523,0.39227092,0.2857985,0.5014422
29,Chad,TCD,0.07794734,0.1134316,0.22767772,0.13028762,0.1997174,0.21645795,0.30344555,0.5492724,0.7956576,0.85896593,0.94775766,0.23809642,0.26517808,0.21160556,0.10518614,0.115862764,0.021475881,0.019899815,0.04154889,0.959827,0.99447215,0.97950053,0.31642345,0.081351414,0.036380216,0.16500808,0.0753382,0.06772595,0.15433204,0.15433204,0.014124187,0.014124187,0.009687173
30,Chile,CHL,0.0037071223,0.0035524128,0.052274365,0.011895277,0.0143410545,0.008999541,0.006627697,0.004530653,0.012701882,0.023355385,0.0366828,0.06704264,0.0654964,0.026347443,0.021632588,0.009577832,0.0056374883,0.0056374883,0.11307445,0.19732587,0.28879598,0.22094448,0.073960744,0.0556812,0.0011395959,0.0069593783,0.28321373,0.44749296,0.44749296,0.95379025,0.7905841,0.15798515,0.85042995
31,China,CHN,0.019217009,0.046092663,0.05098091,0.03602045,0.020767935,0.047121204,0.032473445,0.012511484,0.012511484,0.0021340959,0.0025250101,0.0005973821,0.0011439469,0.0009907216,0.002303263,0.002490283,0.0016043886,0.0012451978,0.02478764,0.015495973,0.01111341,0.006926374,0.0013667835,0.0008279963,0.013347623,0.00853283,0.022004167,0.024544537,0.037139878,0.031849496,0.09283194,0.62729484,0.42962885
32,Colombia,COL,0.0088087525,0.005587699,0.003265976,0.0032898993,0.002447274,0.0036098764,0.04901098,0.11945443,0.035562865,0.13777494,0.389796,0.54202855,0.06836077,0.031571504,0.33321834,0.19166808,0.011235308,0.006832893,0.0088895615,0.014420178,0.008712702,0.02675447,0.01597263,0.019538194,0.008355565,0.008344139,0.0067399982,0.020075675,0.010057101,0.009567087,0.038227797,0.032639354,0.024656529
33,Costa Rica,CRI,0.00088814547,0.00014218014,0.00070193084,0.0008235164,0.0051546497,0.0066160164,0.00034464907,0.00034464907,0.00038504053,0.013436842,0.006596746,0.0151593,0.013987827,0.013987827,0.039098352,0.016453646,0.021313904,0.010842382,0.01090421,0.013265828,0.013190787,0.013190787,0.013190787,0.0010782938,0.0017755437,0.002573191,0.0012246064,0.0003981829,0.00067847234,0.0010768217,0.0037165724,0.0032200054,0.0032200054
34,Croatia,HRV,0.07934861,0.12795052,0.0060702167,0.00062579237,0.0008714723,0.0008714723,0.0006283587,0.3456516,0.3456516,0.38204724,0.34537035,0.037709136,0.3101731,0.005439244,0.00031056165,0.0024376288,0.0009261231,0.0009261231,0.0005997779,0.008185625,0.2087753,0.008561208,0.0059460443,0.014382856,0.013205797,0.0013943007,0.0007080201,0.00081381865,0.00081381865,0.00081381865,0.0009396708,0.0005593107,0.0005593107
35,Cuba,CUB,0.10441588,0.10441588,0.08583585,0.08583585,0.17710428,0.147895,0.039406303,0.019609084,0.022245487,0.022245487,0.022245487,0.022245487,0.022245487,0.022245487,0.016610632,0.080376655,0.013542764,0.0024439876,0.025485296,0.11669479,0.022828724,0.013664758,0.021330671,0.0840452,0.03018988,0.027208127,0.01245919,0.01245919,0.01416173,0.021585086,0.027725695,0.035800952,0.035800952
36,Cyprus,CYP,0.15844716,0.006452396,0.008131748,0.015190996,0.015105233,0.015105233,0.039271943,0.01854965,0.006279256,0.003810953,0.0027764945,0.0054922584,0.0031671063,0.0031671063,0.0043991143,0.0014668222,0.0011598334,0.0011598334,0.0002065786,0.00030533032,0.00019551953,0.00016931628,0.00016931628,0.00016931628,0.00045184055,0.0010524598,0.0008240784,0.00041834638,0.00022858186,0.0003827952,0.0003827952,0.0005193457,0.00038317635
37,Czechia,CZE,0.11612807,0.003341463,0.01322889,0.012732768,0.008922909,0.0116911745,0.08160462,0.025597438,0.025597438,0.024498757,0.026095381,0.03724054,0.04114703,0.016526882,0.008141784,0.0024069233,0.0034872217,0.0011015539,0.0011015539,0.001512913,0.0015397011,0.00092416676,0.00092416676,0.001234049,0.0011151041,0.0016773056,0.0016773056,0.0016773056,0.0012562572,0.002198876,0.001178108,0.0011362236,0.0015605096
38,Democratic Republic of the Congo,COD,0.13522626,0.66309774,0.9206748,0.96924835,0.9573095,0.9908222,0.9951132,0.9956345,0.9935587,0.99266946,0.59884596,0.94550073,0.783285,0.7670927,0.97402996,0.75898904,0.7608516,0.8181685,0.45818156,0.47996205,0.51601774,0.5907017,0.4174749,0.4174749,0.2536327,0.20175861,0.032240212,0.007318717,0.0044331993,0.02709702,0.038678586,0.002064075,0.0021980205
39,Denmark,DNK,0.01020013,0.007550335,0.0053381063,0.0066183046,0.0024892655,0.0037416823,0.0037416823,0.003381155,0.00265132,0.0043470873,0.0037665966,0.005428439,0.005428439,0.005428439,0.005428439,0.005428439,0.0010923163,0.001643048,0.0015270218,0.0010175941,0.0021703898,0.0022964221,0.0022964221,0.0016494431,0.0011799285,0.0027004133,0.0027004133,0.0027004133,0.0027004133,0.0027004133,0.0027004133,0.0027004133,0.0027004133
40,Djibouti,DJI,0.11299712,0.31996477,0.008307591,0.009346393,0.0051424573,0.003537886,0.018903859,0.005434436,0.005434436,0.008597529,0.0030913302,0.0030913302,0.0022789845,0.0022789845,0.0013245549,0.0010304914,0.0019104932,0.0015607888,0.0042246794,0.009149482,0.007507255,0.58034563,0.16323026,0.021351991,0.0055617513,0.006154202,0.01259747,0.038764935,0.012635178,0.003643784,0.0013924482,0.0011599113,0.0009854034
41,Dominican Republic,DOM,0.010977962,0.009520471,0.00075502275,0.0009204079,0.0009584137,0.00047270526,0.069899775,0.0013619252,0.0019461596,0.036051907,0.008100681,0.0067360154,0.0021125337,0.011430068,0.005880904,0.007204213,0.008310075,0.01200799,0.0006045832,0.0006080667,0.0015648484,0.009488984,0.004955248,0.005195245,0.003874898,0.004955248,0.0039622136,0.0060976255,0.004470748,0.004470748,0.010298045,0.007984051,0.04731988
42,Ecuador,ECU,0.0021561885,0.00065443455,0.013408471,0.006246739,0.006358414,0.0008892704,0.0019644885,0.010573082,0.1202336,0.0042454577,0.0053768274,0.020978794,0.2115939,0.01860415,0.045054466,0.05168737,0.019422604,0.059922736,0.15613882,0.19503798,0.0881847,0.12303871,0.9832797,0.95417917,0.8990865,0.9372427,0.9306276,0.92971045,0.07682892,0.093543455,0.0041143135,0.008419894,0.006064873
43,Egypt,EGY,0.00035611697,0.0031413874,0.02285341,0.120730445,0.07747725,0.08578156,0.082868256,0.24720992,0.1848889,0.13061374,0.2246211,0.19092005,0.18953244,0.18336199,0.14871544,0.23929149,0.62531525,0.1972419,0.5423092,0.02850696,0.015876869,0.01764077,0.020293793,0.007077956,0.14032336,0.2364333,0.11672072,0.020695811,0.014622285,0.006331513,0.05890744,0.13648184,0.43531612
44,El Salvador,SLV,0.0016538901,0.00078355003,0.00012736507,0.0002755283,0.001542482,0.009319728,0.00086611265,0.102040574,0.07910395,0.036628515,0.0024005682,0.0012761075,0.00016166769,0.00016166769,0.00085899845,0.009098793,0.00072995643,0.00072995643,0.0006921019,0.0011524326,0.00013026426,0.00018654957,0.00018654957,0.0001633709,0.00011890708,0.00012437897,0.00012437897,0.00014835589,0.0008870748,0.0007013351,0.0019787448,0.0033270211,0.0028273934
45,Equatorial Guinea,GNQ,0.036206726,0.012435539,0.002288758,0.0026748397,0.0039499328,0.011803667,0.0049131718,0.030238776,0.026947048,0.040694956,0.08502067,0.060377162,0.25892788,0.35498765,0.6908397,0.47307396,0.047270242,0.14054841,0.025022775,0.025022775,0.025022775,0.025022775,0.5038827,0.68242645,0.2891554,0.26803666,0.27936774,0.6143314,0.21554871,0.17918329,0.02030406,0.00771497,0.00771497
46,Eritrea,ERI,0.015365205,0.070302054,0.16837151,0.004400963,0.2895537,0.46389988,0.17955096,0.015079426,0.010097024,0.014769357,0.016834777,0.0060656033,0.008793345,0.013541382,0.0012169535,0.0026663786,0.0023339454,0.0023339454,0.013590765,0.01390298,0.009870508,0.014244049,0.003687077,0.0048774816,0.017436683,0.039504252,0.32105643,0.90920025,0.928435,0.9495369,0.86851424,0.9080044,0.8883892
47,Estonia,EST,0.0893592,0.03872055,0.056560982,0.002690652,0.0062965816,0.0039740265,0.0004484406,0.002119609,0.0040153437,0.0035260145,0.003505873,0.0035260145,0.0052621425,0.004147018,0.003210851,0.003210851,0.0918956,0.1291837,0.00063255004,0.0019032113,0.0011306696,0.002297961,0.0032109304,0.0030079172,0.001068117,0.0012332451,0.0006221235,0.00029667356,0.00029667356,0.00034258008,0.001789424,0.0015426993,0.0020826347
48,Ethiopia,ETH,0.7579443,0.9492266,0.8680991,0.90258646,0.95898235,0.9247437,0.75405014,0.015520965,0.007249897,0.03339067,0.03015941,0.12632114,0.10618192,0.04696317,0.04922922,0.0040173614,0.0027837693,0.013238348,0.0071064983,0.0020404176,0.18624833,0.7735158,0.6959058,0.20390683,0.06381484,0.09061752,0.0049366266,0.0049366266,0.0027702174,0.003338758,0.003338758,0.0026546118,0.0026546118
