,Military spending percent of total government spending ,Arms imports million constant U.S. dollars,Human Development Index (0 - 1),Economic growth: the rate of change of real GDP,GDP per capita current U.S. dollars,GDP per capita Purchasing Power Parity,Capital investment as percent of GDP,Inflation: percent change in the Consumer Price Index,Unemployment rate,Youth unemployment ages 15-24,Labor force participation rate,Trade openness: exports plus imports as percent of GDP,Foreign Direct Investment percent of GDP,Trade balance as percent of GDP,External debt percent of Gross National Income,Government spending as percent of GDP,Fiscal balance percent of GDP,Government debt as percent of GDP,Foreign aid and official development assistance received,Rule of law index (-2.5 weak; 2.5 strong),Government effectiveness index (-2.5 weak; 2.5 strong),Control of corruption (-2.5 weak; 2.5 strong),Regulatory quality index (-2.5 weak; 2.5 strong),Voice and accountability index (-2.5 weak; 2.5 strong),Political stability index (-2.5 weak; 2.5 strong),Corruption Perceptions Index 100 = no corruption,Political rights index 7 (weak) - 1 (strong),Civil liberties index 7 (weak) - 1 (strong) ,Shadow economy percent of GDP,Internet users percent of population,Income from natural resources percent of GDP,Access to electricity percent of the population,Food production index (2004-2006 = 100),Banking system z-scores,Real interest rate: Bank lending rate minus inflation,Freedom from corruption index (0-100),Labor freedom index (0-100),Economic freedom overall index (0-100),Population size in millions,Rural population percent of total population,Refugee population,Population growth percent,Life expectancy in years,Death rate per 1000 people,Suicide mortality rate per 100000 population,Deaths of children under five years of age per 1000 live births,Public spending on education percent of GDP,Globalization index (0-100),Economic globalization index (0-100),Political globalization index (0-100),Social globalization index (0-100),Homicides per 100000 people,Security threats index 0 (low) - 10 (high),Factionalized elites index 0 (low) - 10 (high),Group grievance index 0 (low) - 10 (high),Economic decline index 0 (low) - 10 (high),Uneven economic development index 0 (low) - 10 (high),State legitimacy index 0 (high) - 10 (low),Human rights and rule of law index 0 (high) - 10 (low),Demographic pressures 0 (low) - 10 (high),Refugees and displaced persons index 0 (low) - 10 (high),External interventions index 0 (low) - 10 (high),target
0,7.932758945841767,1411.0,0.3108,3.854707118525183,7078.271420159964,16967.390760551105,24.63866845808776,12.274064795625968,10.82,18.232,46.824,93.97344653605253,2.0831553419183875,-6.101176176320711,60.912189372075446,15.779431170503496,-0.6678876131493499,45.45766411942788,275.218,-0.6259594384648712,-1.0071632304941878,-0.24590544471952402,-0.8795852870494647,-0.9051966878962454,-0.5282532717136803,35.04389119744211,6.8,6.8,34.497754598338496,0.0,25.308700865743763,77.20779130186463,63.36,16.51338994757655,-4.403216006395434,36.29629547822104,59.547502079076146,53.85338878851016,15.76,78.556,26186.6,7.556,52.227999999999994,14.001999999999999,11.182006843665595,161.2,4.538859825239771,23.834,33.534,25.386000000000003,11.656,9.896846743764723,7.387182373571012,6.639303138322053,6.351399374568363,6.170503140607237,7.519970958501827,7.4334353898032175,9.29508630867076,9.170735695525385,5.4883708882709294,6.766785281407768,0
1,5.02,582.6,0.58,0.4600000000000001,2316.2560000000003,8588.86,29.139999999999997,13.040000000000001,20.6,33.02,44.01,43.808,0.016,-3.4159999999999995,49.554,17.666,5.199999999999999,93.4,217.292,-0.6025777284913958,-0.8259035243864119,-0.5805055689444374,-0.9451371908398456,-0.6560587466676059,-0.7618314878045478,32.25921647306436,5.0,4.8,34.96,0.0,13.132,71.91564379583895,31.5,14.169571005823451,0.7423967784895948,29.768290183583105,54.021618006177206,46.32829096520571,25.096,48.704,168867.4,2.6719999999999997,66.47999999999999,6.454000000000001,10.88402306305754,52.0,4.8453230976704385,37.644,24.124000000000002,64.19,24.618000000000002,10.021492009716077,8.014878824100949,7.304706859832123,7.381411039972619,6.192598903644514,7.652389158680883,7.328676339462647,8.385475474051386,8.424569017351256,6.706656829079779,6.310601998733625,0
2,6.865227213568634,254.67682191480128,0.845,-0.9199999999999999,39726.04,61891.440173135605,25.72166191316096,16.19616774974122,5.678305692852275,8.670716538632666,68.32974968982458,94.45880626577221,1.8546928184303955,8.45041502057038,47.57057147998373,20.046272807567828,2.0,40.68,179.79237822109127,1.482,1.6079999999999999,1.244,1.304,1.3119999999999998,1.31,68.101420571835,1.0,1.0,14.868915549736851,84.42,0.0,100.0,103.04372043812567,29.101999999999997,-0.09411500940839979,75.08142155942215,63.27226930236549,71.27346644769862,0.08,11.462,64877.19533182741,-1.5919999999999999,77.28546908021492,3.9,11.924452658850111,3.8,2.9625,47.44199999999999,39.818115410823935,20.488,86.908,0.24,2.6579250021109626,3.108769800692216,3.9161967986468564,2.9306305512690125,4.272241044892585,3.7865580852225804,3.6901337962978458,3.3663446552883274,2.6630099634006608,3.4859108118850526,0
3,6.409732733817706,419.3333333333333,0.774,-3.4160000000000004,5968.014,14670.996666666668,13.162,1.4,7.266992550768929,18.165530502818115,77.37,151.97,3.092,7.42,79.13499999999999,18.695,-9.06,86.715,122.756,0.96,0.495,1.31,0.645,0.5449999999999999,0.81,34.13262209927543,5.4,5.0,35.05079431908902,29.666666666666668,13.574000000000002,98.53999999999999,60.660000000000004,16.20916601986471,8.735,34.7587083488114,58.83040502662005,66.66253516714093,6.909999999999999,67.946,38268.666666666664,2.666,57.489999999999995,14.166,0.1,138.0,2.51,42.15,49.524,38.465999999999994,39.04,11.700000000000001,4.8,4.2,4.4,5.15,6.3,5.55,4.85,4.7,3.5,6.050000000000001,0
4,4.04,109.5,0.7686,-0.8779999999999999,10769.286,17890.19,19.952,2.6666666666666665,16.16,34.215,61.989999999999995,100.918,6.4719999999999995,4.95,56.365,16.046,-3.8480000000000003,76.146,50.26,0.6275,0.355,0.9025,0.5025,0.5475,0.75,35.0,2.2,2.2,26.17,38.044,0.8399999999999999,97.168,88.94000000000001,5.47,9.586666666666668,30.0,59.550368387194844,69.5,14.884,48.989999999999995,2383.5,1.214,75.12,6.806,3.9200000000000004,13.4,4.705,61.786,59.574,56.61600000000001,70.89399999999999,10.3,4.9,3.7000000000000006,4.1,4.8,5.7,5.8,4.566666666666666,4.8999999999999995,2.9,5.7,0
5,4.206666666666666,64.66666666666667,0.7274,-0.12400000000000037,2608.828,12412.744,18.163999999999998,381.0,18.113999999999997,37.524,60.727999999999994,64.714,1.364,4.952,86.792,15.178,1.39,141.33333333333334,122.66799999999998,-0.7775000000000001,-0.155,-0.425,-0.84,0.037500000000000006,-0.415,26.0,3.6,3.6,36.338,7.772,4.294,97.864,74.47999999999999,4.463333333333334,-29.14,23.6,59.823388455068006,51.0,26.922000000000004,18.94,13494.0,0.51,71.858,9.922,9.533333333333333,17.0,3.6833333333333336,57.186,46.501999999999995,73.04400000000001,51.891999999999996,9.55,3.6162463799580307,6.818084211649074,6.554090671751708,5.9835803881546665,7.06803164492494,6.945038329097473,5.132645230499716,5.7231445432112515,5.4151768711321076,6.167156407872523,0
6,7.55,1.0,0.673,7.066,1275.414,7561.3175,26.29,63.9,24.26,47.23,48.005,83.452,2.364,-28.012,33.038,20.346,-1.6879692342909323,33.70666666666666,403.36,-0.63,-1.065,-0.495,-0.645,-0.1,-0.34500000000000003,28.97384281139955,5.4,4.6,39.135000000000005,1.245,2.762,99.475,60.25999999999999,18.09,-7.949999999999999,10.0,58.22501358217102,39.75,4.9,56.705999999999996,24741.0,0.458,67.216,12.166,9.4,58.2,4.10234230855177,46.160000000000004,44.106,50.124,44.056,4.325,6.916266113037874,7.135376039057155,6.805865602101721,6.3693649075295635,7.2780235159904585,7.10261758358871,7.482659994715806,7.1566990825584424,5.76552084538804,6.433037867533691,0
7,4.675000000000001,54.5,0.706,6.508,11208.096000000001,8737.395,29.795,-89.69569060623255,28.865000000000002,56.905,43.515,97.22,2.62,33.406,50.035,12.224,-1.6115512251463127,26.564999999999998,245.64600000000002,-0.5549999999999999,-0.7949999999999999,-0.30000000000000004,-0.35,0.19,-0.19499999999999998,32.0,4.0,3.5,34.754999999999995,9.72,28.905,100.0,43.959999999999994,15.52,8.64,10.0,55.82166636591684,43.0,1.616,43.724000000000004,22362.0,2.104,70.216,7.0280000000000005,9.95,17.4,1.6166666666666665,58.55,54.665,62.415,58.565,1.8,7.415233478162293,6.297881319038759,5.913100663445646,6.148721196335303,6.330813667011757,5.885794973476594,6.641059827436072,6.484431264682025,4.8595902399232775,6.078574957058216,0
8,9.796666666666667,10.0,0.7873333333333333,-1.5879999999999996,17430.382,71510.68,31.656666666666666,5.66,5.010000000000001,13.603333333333333,66.29,106.998,2.508,32.222,42.73612808953987,17.901999999999997,5.155648148344149,0.0,3.016,0.6683855820453646,1.2504866078865327,0.7144323383777995,1.2564311866259366,-0.00696688882436397,1.0439558015978347,63.476849556324154,7.0,5.666666666666667,29.53,0.34,22.844,100.0,26.939999999999998,23.82331603767037,0.04791283327576057,72.59206748328597,72.947139864023,67.32740192997946,0.256,33.056,64867.222588563745,2.846,69.90599999999999,4.516,10.389941121908027,15.0,2.5366666666666666,45.93,62.4,20.593333333333334,57.47666666666667,2.3287280459306245,4.705696461457431,4.5809648081704,5.824035967219196,2.4558635934533255,6.250236665407254,6.525320318789422,6.803731793457014,5.31239912855696,4.310322126735751,3.5531613078798663,0
9,10.106,17.0,0.8146000000000001,0.804,27006.314000000002,70877.304,22.778,1.4,5.904,17.488,66.97,106.97,6.138,27.026,43.25631246879378,21.642000000000003,23.77,0.44399999999999995,1.775,0.45,0.9,0.3425,1.0150000000000001,-0.9575,1.15,67.00835665334941,6.4,5.0,28.998,28.2,26.633999999999997,100.0,61.120000000000005,21.139599248410956,-2.06,75.76560181915364,69.94116522222245,66.57906873553038,0.346,27.9,64870.31313564598,1.7439999999999998,73.35,3.7060000000000004,2.533333333333333,10.8,3.6873667842157745,52.676,65.228,29.032,65.832,1.5,6.6,7.4,7.050000000000001,3.2,7.65,7.7,6.699999999999999,6.1,5.25,4.7,0
