,Military spending percent of total government spending ,Arms imports million constant U.S. dollars,Human Development Index (0 - 1),Economic growth: the rate of change of real GDP,GDP per capita current U.S. dollars,GDP per capita Purchasing Power Parity,Capital investment as percent of GDP,Inflation: percent change in the Consumer Price Index,Unemployment rate,Youth unemployment ages 15-24,Labor force participation rate,Trade openness: exports plus imports as percent of GDP,Foreign Direct Investment percent of GDP,Trade balance as percent of GDP,External debt percent of Gross National Income,Government spending as percent of GDP,Fiscal balance percent of GDP,Government debt as percent of GDP,Foreign aid and official development assistance received,Rule of law index (-2.5 weak; 2.5 strong),Government effectiveness index (-2.5 weak; 2.5 strong),Control of corruption (-2.5 weak; 2.5 strong),Regulatory quality index (-2.5 weak; 2.5 strong),Voice and accountability index (-2.5 weak; 2.5 strong),Political stability index (-2.5 weak; 2.5 strong),Corruption Perceptions Index 100 = no corruption,Political rights index 7 (weak) - 1 (strong),Civil liberties index 7 (weak) - 1 (strong) ,Shadow economy percent of GDP,Internet users percent of population,Income from natural resources percent of GDP,Access to electricity percent of the population,Food production index (2004-2006 = 100),Banking system z-scores,Real interest rate: Bank lending rate minus inflation,Freedom from corruption index (0-100),Labor freedom index (0-100),Economic freedom overall index (0-100),Population size in millions,Rural population percent of total population,Refugee population,Population growth percent,Life expectancy in years,Death rate per 1000 people,Suicide mortality rate per 100000 population,Deaths of children under five years of age per 1000 live births,Public spending on education percent of GDP,Globalization index (0-100),Economic globalization index (0-100),Political globalization index (0-100),Social globalization index (0-100),Homicides per 100000 people,Security threats index 0 (low) - 10 (high),Factionalized elites index 0 (low) - 10 (high),Group grievance index 0 (low) - 10 (high),Economic decline index 0 (low) - 10 (high),Uneven economic development index 0 (low) - 10 (high),State legitimacy index 0 (high) - 10 (low),Human rights and rule of law index 0 (high) - 10 (low),Demographic pressures 0 (low) - 10 (high),Refugees and displaced persons index 0 (low) - 10 (high),External interventions index 0 (low) - 10 (high),target
0,4.292090966881322,209.32210559089873,0.7906,-2.625,40601.665,51634.628688963945,35.81,84.56437777875078,9.634464630745637,21.852287336879332,61.85172493037859,51.63686429932386,1.500657334595151,0.42,88.34854750316075,9.31,0.17816446479000225,39.4,585.591105581194,1.3499999999999999,1.5150000000000001,1.27,1.53,1.38,1.2875,67.44805347241834,2.2,2.2,16.24218190662596,82.275,0.0,100.0,41.4,29.6525,2.9248506245084265,76.9866028319104,62.55095106562936,70.48999624806746,0.598,22.304,152000.11588257845,-0.484,70.21,4.33,13.024698832322013,19.8,2.8266666666666667,45.602,23.51,27.863999999999997,75.286,0.3,3.30373817922482,4.5525202286891195,4.725485554314689,3.562727997039127,4.191069104839795,2.9745493557953733,1.3530903978535935,5.0253718283650555,3.48820051034996,3.154603023268683,0
1,6.03,69.5,0.853,1.6799999999999997,8598.414,4032.1499999999996,22.53251539967054,2284.9750000000004,4.15,8.8925,77.38250000000001,107.13439399052393,5.0024999999999995,1.5308434509461968,393.8933333333334,14.090808885839666,5.91,41.0,403.0475,0.0050000000000000044,0.425,0.025000000000000022,-0.26999999999999996,-0.20500000000000007,-0.385,28.95930760519684,5.4,5.4,51.17,17.22,34.9775,100.0,24.2,28.31,-88.805,20.0,54.81981778673484,25.5,11.001999999999999,47.506,10453.5,2.192,45.25,19.325,8.38782504669585,178.4,3.07,37.89,54.06,33.726,28.93,0.0,6.180200402755536,11.042709692437382,6.0533346653691,6.854513344310138,6.672057926847529,-10.885525790257999,1.4488912308361535,19.597984574015918,4.853890494732671,5.455294052133062,0
2,8.609928880850735,363.8,0.647129257773212,2.118,2154.5099999999998,9188.155847847273,28.954,108.82143088599446,8.782994115115613,19.040874322401525,62.94321432976556,14.2,0.31399999999999995,1.6920000000000002,21.682,10.642,-7.7700000000000005,-5.039846008144018,17.502000000000002,-0.2608403542973341,0.012932292080862773,-0.24618936494372745,-0.010992524236667744,0.18211313893991926,-0.1117446761515149,36.45797181471267,5.2,5.0,37.3621352580045,10.523584021041911,3.096,81.19220518984184,45.46,15.247828504941882,7.110264271405116,35.67020625511967,59.26783745951724,56.73818176983326,26.663999999999998,18.25,35090.0,1.518,68.588,8.796000000000001,11.667370123538904,55.4,1.814,49.048,32.256,71.90599999999999,42.982,8.216267588319408,5.596148658952498,7.884199954331779,6.126348764586309,6.188445455148932,6.106054535613277,7.659240294570674,6.54229402820033,8.028683002619214,4.600024798047759,5.923023690625833,0
3,5.76,93.0,0.7236,5.654,6883.974,16839.54,17.9,166.33877050600637,10.492,22.107999999999997,61.120000000000005,16.52,1.598,-1.162,32.504,9.27,-1.2879999999999998,3.6517155798767362,219.91,0.4183682946934584,0.46040154075586126,0.5745228089803844,0.4870540202721696,0.47076486631470554,-0.00854168193197874,47.16280617010923,1.8,3.0,25.924,0.032,1.168,93.164,54.720000000000006,15.43015166949317,3.2265076495583465,50.0,60.75992824082632,68.0,33.962,12.251999999999999,11376.8,1.312,72.238,8.024,12.704249513047628,26.0,3.9551052371730577,57.85,42.245999999999995,83.648,47.652,7.643268513589757,5.321432541734348,7.5621845977108535,6.03493168389642,5.873138195809176,5.889428672632938,5.930206438386705,5.612593245601371,8.378061450913428,4.5605605402541665,5.7977202615780135,0
4,12.437999999999999,3.0,0.6264000000000001,7.12,541.122,3429.844,28.754,3.2,9.975999999999999,19.041999999999998,78.468,77.708,16.9,-19.785999999999998,20.034,14.11,-0.4880000000000001,18.346,142.478,-1.1566666666666665,-0.9333333333333332,-1.3433333333333335,-1.0366666666666666,-1.0166666666666668,-0.7866666666666666,21.886852650268665,6.0,4.4,59.864,0.066,18.306,97.955,45.42,7.19,14.78,22.0,57.068657745374196,40.8,7.9079999999999995,48.53,182193.4,0.924,66.186,5.9399999999999995,3.1,83.6,3.7375,39.78,44.672000000000004,38.224000000000004,36.22,3.6,6.000174251097582,7.478919372437561,6.275339055277499,6.635955234907967,6.568457864397028,9.45955015998692,8.99019967228032,7.660674065569124,4.736829919418796,5.697834217706418,0
5,5.7300355610301,3.0,0.7916000000000001,1.3980000000000001,29837.859999999997,40223.744,27.766000000000002,2.1,9.331999999999999,20.195999999999998,75.214,80.804,4.912000000000001,-4.33,56.466413714107034,9.966,-1.842,35.202,4.18,1.3,1.178,1.364,1.092,1.014,0.8400000000000001,57.298273372661114,1.0,1.0,28.156,24.0,0.01,100.0,76.78,15.959999999999999,3.4219999999999997,70.0,80.0,72.6,0.324,17.782,152001.30104328782,1.846,71.99199999999999,6.228,3.06,17.0,2.51,48.916,42.07,26.668,79.31,17.240000000000002,5.4,5.3,5.3,3.2,7.2,6.4,3.0,6.0,3.6,5.2,0
6,9.806000000000001,344.0,0.6136,6.470000000000001,1986.9180000000001,5193.614,31.306,5.6,4.596,12.718,57.564,30.338,0.64,-5.16,18.131999999999998,6.012,-4.014,28.812,3460.4675,-0.6300000000000001,-0.728,-0.914,-0.8560000000000001,-0.692,-1.074,26.4,4.4,4.4,35.6304753716093,21.660000000000004,0.496,88.824,107.32000000000001,14.291999999999998,0.85,23.2,66.8,55.0,161.358,63.370000000000005,767273.0,1.052,72.324,5.529999999999999,3.55,32.4,1.435,50.535,29.7275,74.50999999999999,47.37,2.2,7.640000000000001,9.42,8.459999999999999,5.959999999999999,6.42,7.640000000000001,7.38,7.4799999999999995,7.159999999999999,5.84,0
7,2.216,99.4,0.8964000000000001,1.3960000000000001,42579.532,47526.696,24.072,2.16,7.808,20.130000000000003,53.42999999999999,148.61399999999998,19.29,3.03,125.65832115311362,22.502000000000002,-1.78,93.46000000000001,461.4907114060751,1.3039999999999998,1.6,1.3679999999999999,1.348,1.358,0.77,72.4,1.0,1.0,19.428,63.196000000000005,0.02,100.0,92.2,7.279999999999999,9.3421006269885,73.8,70.0,71.6,10.634,2.496,16445.4,0.7060000000000001,79.57000000000001,9.68,20.1,5.0,6.196666666666666,89.32000000000001,87.09,97.25800000000001,83.462,1.9600000000000002,1.6333333333333335,2.6666666666666665,4.533333333333334,2.6,4.5,2.033333333333333,1.5666666666666667,3.0666666666666664,1.6333333333333335,2.3333333333333335,0
8,4.76,7.0,0.4332,3.632,752.758,2590.632,14.034,2.8200000000000003,0.776,1.134,71.77799999999999,40.832,-0.246,-3.464,25.254,8.818000000000001,-3.1540635086069813,22.202,332.942,-0.446,-0.5980000000000001,-0.6799999999999999,-0.5820000000000001,0.124,0.554,28.666666666666668,2.2,2.0,54.124,1.128,3.3600000000000003,25.432,64.16,14.812000000000001,3.0949999999999998,30.4,53.0,54.6,7.754,59.958000000000006,11183.8,2.988,56.90599999999999,11.592,8.74,124.6,2.446,42.772000000000006,32.954,62.71,31.764,9.19859045813356,6.190224179891954,7.471184389360158,6.35964203006537,6.888473608425092,6.673655330092218,8.099738858337615,7.281774669818258,8.153127018811896,5.0064694880810245,6.134598678312076,0
9,3.996,163.8,0.698,3.4219999999999997,4044.818,12278.328,17.448,8.18,9.336,18.574,64.99600000000001,27.714,2.25,2.516,32.888,19.058,-3.918,55.48,194.286,-0.384,-0.12200000000000003,-0.026000000000000002,0.08399999999999999,0.45199999999999996,-0.1,37.6,2.0,2.6,38.153999999999996,18.125999999999998,3.186,97.016,69.44,17.13,44.89,39.4,65.5,62.0,183.932,17.486,3324.6,1.202,71.534,6.061999999999999,4.5,26.6,4.2675,55.536,42.38,75.51,48.718,24.44,5.540344659477177,7.093917268626576,6.138848484974602,6.123739661685583,6.053926768679945,8.316681430875715,5.44823557989263,6.137961089911811,4.664180137676802,5.946887005251125,0
